"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","www.keljob.com/52.84.169.29","443","INFO","-----BEGIN CERTIFICATE----- MIIFYTCCBEmgAwIBAgIQBK9sJ8ufZO/7PQAySgNXrzANBgkqhkiG9w0BAQsFADBG MQswCQYDVQQGEwJVUzEPMA0GA1UEChMGQW1hem9uMRUwEwYDVQQLEwxTZXJ2ZXIg Q0EgMUIxDzANBgNVBAMTBkFtYXpvbjAeFw0yMTAyMTMwMDAwMDBaFw0yMjAzMTQy MzU5NTlaMBcxFTATBgNVBAMMDCoua2Vsam9iLmNvbTCCASIwDQYJKoZIhvcNAQEB BQADggEPADCCAQoCggEBANNOxyRPmvYHs5ycKbNrsWQ3uIo4QTcx8wuAJLxtzkz/ xRiigcQweiIfy2/H9Zu7fvoosJR+Ep/YuwETlDLy8gomOms9tlBhMCNn7msQte0f SXj19XchaddGRAmw+jI4pZiwS/23oy95cX7+8w9wiyUVPE99mfx0GHZ8dpwR/y3Z E6TwAj4oFlNP8KMpgnIuGGjrJQeLqM+MRXrVTxi+EbC5N9sOr08Jsmvh9BZPpLxH szrBs5jygjmY+pioDfr8h1pjNXYscM+A8bDPapvt/2tWbnoS7j41FpMvpSSkjBjC mPWArXs6PniTCxI+ExQ4x9x4okWKzPdatKKy72KYih8CAwEAAaOCAngwggJ0MB8G A1UdIwQYMBaAFFmkZgZSoHuVkjyjlAcnlnRb+T3QMB0GA1UdDgQWBBQR0taxhuq4 Zv/K66qDSepjKpH2FTAjBgNVHREEHDAaggwqLmtlbGpvYi5jb22CCmtlbGpvYi5j b20wDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcD AjA7BgNVHR8ENDAyMDCgLqAshipodHRwOi8vY3JsLnNjYTFiLmFtYXpvbnRydXN0 LmNvbS9zY2ExYi5jcmwwEwYDVR0gBAwwCjAIBgZngQwBAgEwdQYIKwYBBQUHAQEE aTBnMC0GCCsGAQUFBzABhiFodHRwOi8vb2NzcC5zY2ExYi5hbWF6b250cnVzdC5j b20wNgYIKwYBBQUHMAKGKmh0dHA6Ly9jcnQuc2NhMWIuYW1hem9udHJ1c3QuY29t L3NjYTFiLmNydDAMBgNVHRMBAf8EAjAAMIIBBQYKKwYBBAHWeQIEAgSB9gSB8wDx AHYAKXm+8J45OSHwVnOfY6V35b5XfZxgCvj5TV0mXCVdx4QAAAF3mPsiiwAABAMA RzBFAiBbL+7WgT+3Ho44oP+8rhB9oJwxX3YFXvFXFj+ucNdETAIhAP/IyNzUX8ZP 1n3w9WV7sGiH9zzZ1IuncmrqiYktceO8AHcAIkVFB1lVJFaWP6Ev8fdthuAjJmOt wEt/XcaDXG7iDwIAAAF3mPsi2AAABAMASDBGAiEA7AOVWLAj3DMItwwhgLJP4f47 B0MuDFA8eb5NkteR2ccCIQCCl0V5q8W11AbWuIi6YidL12n7VvxtyM77DLk0VLdl JjANBgkqhkiG9w0BAQsFAAOCAQEAuBU5Ey3tjU/Cxv/sFRtsL1O36Yit1nWX84fL FQJx41qwDVCQfOP6J0wJaC2he610+9DTh/PYKmEgiKfluI7KpvgNurnGTzGUrhb6 DHUAz5P461KH8DAILGzS0emJkA7bRcW0NumQY5AQruCodHug89L0zMEkFqFAgSaF afgtanXPzHKP25aIPeXEjsgIWKYUPhWXBmdAqAjwDUZimdgV/3KaXRKgX1wBeF91 +tQhaAMuiRnMXINGtsWHrhxTxVvYeoy3J/ihlzVOymQVQgIMFMLenPcg954+a3pr dZfkjdVKrEKTzoRKf90ks610J+bludGwC9DqSDjYuDZjucjPmA== -----END CERTIFICATE-----","",""
"cert_commonName","www.keljob.com/52.84.169.29","443","OK","*.keljob.com","",""
"cert_commonName_wo_SNI","www.keljob.com/52.84.169.29","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName","www.keljob.com/52.84.169.29","443","INFO","*.keljob.com keljob.com","",""
"cert_trust","www.keljob.com/52.84.169.29","443","OK","Ok via SAN wildcard and CN wildcard (SNI mandatory)","",""
"cert_chain_of_trust","www.keljob.com/52.84.169.29","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.keljob.com/52.84.169.29","443","INFO","no","",""
"cert_expirationStatus","www.keljob.com/52.84.169.29","443","OK","210 >= 60 days","",""
"cert_notBefore","www.keljob.com/52.84.169.29","443","INFO","2021-02-13 00:00","",""
"cert_notAfter","www.keljob.com/52.84.169.29","443","OK","2022-03-14 23:59","",""
"cert_extlifeSpan","www.keljob.com/52.84.169.29","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.keljob.com/52.84.169.29","443","INFO","not present","",""
"cert_crlDistributionPoints","www.keljob.com/52.84.169.29","443","INFO","http://crl.sca1b.amazontrust.com/sca1b.crl","",""
"cert_ocspURL","www.keljob.com/52.84.169.29","443","INFO","http://ocsp.sca1b.amazontrust.com","",""
"OCSP_stapling","www.keljob.com/52.84.169.29","443","OK","offered","",""
