"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","emploi.lefigaro.fr/99.86.37.124","443","INFO","-----BEGIN CERTIFICATE----- MIIGIDCCBQigAwIBAgIQA+O48M+qwWOljP0YOasSETANBgkqhkiG9w0BAQsFADBG MQswCQYDVQQGEwJVUzEPMA0GA1UEChMGQW1hem9uMRUwEwYDVQQLEwxTZXJ2ZXIg Q0EgMUIxDzANBgNVBAMTBkFtYXpvbjAeFw0yMTA1MzEwMDAwMDBaFw0yMjA2Mjky MzU5NTlaMB8xHTAbBgNVBAMMFCouZW1wbG9pLmxlZmlnYXJvLmZyMIIBIjANBgkq hkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1hT0aqVl2TXOWoL9bTbGAyn0AR2qqBuY 2mk05KTUVH7h54uHc4GnYVJVKoLL947wMakOpzdQqxnIyGbbJVcPrBKM5CLly41L xLJo68jO/zHeXa6VRL4koxaRj985QPtplhnyyTk3+sWpfzLGUwUqwI2/lfZ9ibq4 BUueYKvLvOyeU+C1HsdgQMAAC11RIRK/fofuLZkipyuacS0NbyVxCE26PunIrUnQ q5VIDKbcIdDev6SJcf+rXpRr1ua0vkklyilqkXnGVm8ag6gc8FN874/tqkV005lX annEXsPksv+PXFZ8CjQeTWGbEuX/AhNBjHfxI5NC0wHuTj7QPUr7oQIDAQABo4ID LzCCAyswHwYDVR0jBBgwFoAUWaRmBlKge5WSPKOUByeWdFv5PdAwHQYDVR0OBBYE FPkWuBhpUctXs2WKtupLoEpvNfmbMGEGA1UdEQRaMFiCFCouZW1wbG9pLmxlZmln YXJvLmZyghJlbXBsb2kubGVmaWdhcm8uZnKCFGluc2lkZXJzLmxlZmlnYXJvLmZy ghYqLmluc2lkZXJzLmxlZmlnYXJvLmZyMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUE FjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwOwYDVR0fBDQwMjAwoC6gLIYqaHR0cDov L2NybC5zY2ExYi5hbWF6b250cnVzdC5jb20vc2NhMWIuY3JsMBMGA1UdIAQMMAow CAYGZ4EMAQIBMHUGCCsGAQUFBwEBBGkwZzAtBggrBgEFBQcwAYYhaHR0cDovL29j c3Auc2NhMWIuYW1hem9udHJ1c3QuY29tMDYGCCsGAQUFBzAChipodHRwOi8vY3J0 LnNjYTFiLmFtYXpvbnRydXN0LmNvbS9zY2ExYi5jcnQwDAYDVR0TAQH/BAIwADCC AX4GCisGAQQB1nkCBAIEggFuBIIBagFoAHcARqVV63X6kSAwtaKJafTzfREsQXS+ /Um4havy/HD+bUcAAAF5wqoXDgAABAMASDBGAiEA9baz88ickZeaMhIlrR8C+W4R VWogqMYB+8iyYCKNKlgCIQDH23smrbXt+4HxtWFp6JfTDrwaoH8P60fck6IdR/Pw vgB1ACJFRQdZVSRWlj+hL/H3bYbgIyZjrcBLf13Gg1xu4g8CAAABecKqFxQAAAQD AEYwRAIgJPv0oXYApFL+6UPZDrZy0LKs2bt7dHrEqALFpeiNZs0CICYq1CiBtPYD r9vmpg720HTYL9Ww/EzpxBG8ieVvn25RAHYAQcjKsd8iRkoQxqE6CUKHXk4xixsD 6+tLx2jwkGKWBvYAAAF5wqoWwgAABAMARzBFAiEAh/Y1p8xUFL1ODudaCjYdiW1q CeiQtQ+8x9BWuxbl7acCIE6Ict7lZqd5/zWX3YVEvB5iPA7MgdkhKMO6WGlkpDss MA0GCSqGSIb3DQEBCwUAA4IBAQBv7/272aoosJcbYfGQJq68KIqJo57UaDIpSq5L SGgFalfhpUfmAXNgeK1wFnNQ+HGEVqUA22xUB9jYj6QlReLv9XI5C64R6iWHgsDw lkhIczzqqpA0lQJr10FzpAYtHzyS/EB0xpyZWa+MdCJ3I1AUgieiXStliUZrfs2P GOESgT00b5oVqtlWsVTta4fQQsDjvq8M4eHqPSEQFriIAeMzE0Dh1c0mWBFMHfJJ 9e0msj4Pvzmp95IaIuWdl+u3106U1VNFf+/TVouqXcujsMmP7MpmtgKS4aYe+iqQ a6IaiAKXjSpqJ6WnGI7JTJJGCriZmG3XNrUn5f39tJqIC6D+ -----END CERTIFICATE-----","",""
"cert_commonName","emploi.lefigaro.fr/99.86.37.124","443","OK","*.emploi.lefigaro.fr","",""
"cert_commonName_wo_SNI","emploi.lefigaro.fr/99.86.37.124","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName","emploi.lefigaro.fr/99.86.37.124","443","INFO","*.emploi.lefigaro.fr emploi.lefigaro.fr insiders.lefigaro.fr *.insiders.lefigaro.fr","",""
"cert_trust","emploi.lefigaro.fr/99.86.37.124","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","emploi.lefigaro.fr/99.86.37.124","443","OK","passed.","",""
"cert_certificatePolicies_EV","emploi.lefigaro.fr/99.86.37.124","443","INFO","no","",""
"cert_expirationStatus","emploi.lefigaro.fr/99.86.37.124","443","OK","305 >= 60 days","",""
"cert_notBefore","emploi.lefigaro.fr/99.86.37.124","443","INFO","2021-05-31 00:00","",""
"cert_notAfter","emploi.lefigaro.fr/99.86.37.124","443","OK","2022-06-29 23:59","",""
"cert_extlifeSpan","emploi.lefigaro.fr/99.86.37.124","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","emploi.lefigaro.fr/99.86.37.124","443","INFO","not present","",""
"cert_crlDistributionPoints","emploi.lefigaro.fr/99.86.37.124","443","INFO","http://crl.sca1b.amazontrust.com/sca1b.crl","",""
"cert_ocspURL","emploi.lefigaro.fr/99.86.37.124","443","INFO","http://ocsp.sca1b.amazontrust.com","",""
"OCSP_stapling","emploi.lefigaro.fr/99.86.37.124","443","OK","offered","",""
"cert_ocspRevoked","emploi.lefigaro.fr/99.86.37.124","443","OK","not revoked","",""
"cert_mustStapleExtension","emploi.lefigaro.fr/99.86.37.124","443","INFO","--","",""
"DNS_CAArecord","emploi.lefigaro.fr/99.86.37.124","443","LOW","--","",""
"certificate_transparency","emploi.lefigaro.fr/99.86.37.124","443","OK","yes (certificate extension)","",""
"certs_countServer","emploi.lefigaro.fr/99.86.37.124","443","INFO","4","",""
"certs_list_ordering_problem","emploi.lefigaro.fr/99.86.37.124","443","INFO","no","",""
"cert_caIssuers","emploi.lefigaro.fr/99.86.37.124","443","INFO","Amazon (Amazon from US)","",""
